,imdbRating
Ghost in a Teeny Bikini,4.3
Daens,7.7
Echoes of War,5.9
Dagon,6.3
Hotel Desire,5.7
Nostalgia,8.2
Kung Pow: Enter the Fist,6.2
Unknown,6.9
Vikramarkudu,7.7
Quarantine,6
Jason Bourne,6.9
Willy Wonka & the Chocolate Factory,7.8
Like Dandelion Dust,7.1
Damage,6.9
Hot Shots,5.7
The Standoff,6.9
Silent Partner,4.8
Will Penny,7.2
Jason X,4.4
Zid,4.4
Insomnia,7.2
Only Lovers Left Alive,7.3
United 93,7.6
Norway,5.5
Vikingdom,3.4
Private Detective: Two Plus Two Plus One,5.7
Fletch Lives,6
Kung Fu Panda,7.6
Vigilante Diaries,5.3
Eat the Rich,6.1
Universal Soldier: Day of Reckoning,5
Jaws: The Revenge,2.9
Jaws,8
Hotel Chevalier,7.3
Inside the Living Body,8.2
Insidious: Chapter 2,6.6
Jawbreaker,5.5
16 Wishes,5.5
The SpongeBob Movie: Sponge Out of Water,6
Not Another Teen Movie,5.7
Corner Gas: The Movie,6.7
Videodrome,7.3
Easy Virtue,6.7
Eating Out: All You Can Eat,6
Like Crazy,6.7
Eating Out 2: Sloppy Seconds,6.4
Video Games: The Movie,6.1
Angels Fall,5.8
Rigor Mortis,6.3
Wind Chill,5.9
Ring the Bell,6.4
Universal Soldier Regeneration: Behind the Lines,8.3
Megamind: The Button of Doom,6.5
Hot Lead and Cold Feet,6.1
Megamind,7.3
13B: Fear Has a New Address,7
Quantum Apocalypse,3
Private Benjamin,6.1
Ghost Bride,3.3
Open Grave,6.3
Ghost in the Shell Arise: Border 2 - Ghost Whisper,7.4
Northwest Passage,7.1
Silent Night,5.2
Signs,6.7
Zipper,5.7
Only the Valiant,6.6
Eaters,4.1
Lilo & Stitch 2: Stitch Has a Glitch,6.3
Silent Hill: Revelation 3D,5
Cotton Comes to Harlem,6.5
Hot Rod,6.7
Ghost,7
Meet the Parents,7
Private Pluto,6.8
Rigodon,5.6
Jason Goes to Hell: The Final Friday,4.3
Ecstasy,5.1
Cottage Country,5.6
Fletch,6.9
Cornered,6.7
Insidious: Chapter 3,6.1
Meet the Robinsons,6.9
Vidocq,6.5
1408,6.8
Rio,7
Hostile Waters,6.3
Hot Tub Time Machine,6.4
Zift,7.4
Angel of Death,5
Righteous Kill,6
Jatts in Golmaal,6.2
Qissa: The Tale of a Lonely Ghost,6.7
Inside the Walls of Folsom Prison,6.7
Willie Dynamite,6.3
Wildflower,7.3
Echelon Conspiracy,5.8
Flatliners,6.5
Open Range,7.5
Hotel Noir,5.9
Willow,7.3
16 Blocks,6.6
Brute Force,7.7
Private School,5.2
Viktor,3.7
Universal Soldier,6
Prisoners,8.1
Buck,7.6
Zindagi Na Milegi Dobara,8.1
The Stanford Prison Experiment,6.9
Rio 2,6.4
Silenced,8
The Spiral Staircase,7.6
Ghayal Once Again,6.8
16 Years of Alcohol,6.3
Lighthouse,4.9
Eddie,5.1
Lili,7.5
Jay and Silent Bob Strike Back,6.9
Meet the Feebles,6.7
Unlucky Stars,6.4
The Spirit of '45,7.1
Fleurs de sang,5
Hot Bot,3.4
"Silent Night, Deadly Night 5: The Toy Maker",4.2
Not Fade Away,6
Eat Pray Love,5.7
Not Cool,5.1
Northanger Abbey,7.3
Hot Fuzz,7.9
Bubble Boy,5.6
Quarantine 2: Terminal,5.3
Angel Face,7.3
Only God Forgives,5.7
View from the Top,5.2
Unicorn City,5.7
Cosmopolis,5
Meet the Fockers,6.3
Angels Sing,5.8
Private Parts,6.8
Private Number,4.7
Eat a Bowl of Tea,6.4
Jason Lives: Friday the 13th Part VI,5.9
Corporate,6.5
Eating Out,5.9
Winchester 73,6
C.O.G.,5.6
C.r.a.z.y,2.9
Cabaret,7.9
Cabaret Desire,4.6
Cabin in the sky,7.3
Cabin in the woods,7
Cable Guy,6
Cadaver,7.1
Caddyshack,7.4
Caddyshack II,3.6
Cadillac Man,5.6
Cadillac Records,7
Caesar and Cleopatra,6.4
Cafe Society,5.6
Caffeine,5.6
Caged,7.8
Cahill,6.5
Cairo Time,6.7
Cake,6.4
Cake Eaters,6.4
Calamity Jane,7.3
Calendar Girls,6.9
California Solo,6.2
Caligula,5.3
Call Girl,6.5
Fight Club,8.8
Illustrious Corpses,7.5
Julius Caesar,7.4
Star Wars: Episode V - The Empire Strikes Back,8.8
The Dark Knight,9
The Godfather,9.2
The Lord of the Rings: The Fellowship of the Ring,8.8
The Matrix,8.7
The silence of the lambs,8.6
Barbie and the Diamond Castle 2008.txt,6.1
Zanjeer 2013.txt,7.7
Electric Dreams 1984.txt,6.5
Far from the Madding Crowd 1967.txt,7.1
Barbie as the Island Princess 2007.txt,6.3
Under Suspicion 2000.txt,6.5
Playing It Cool 2014.txt,6
Confessions of a Teenage Drama Queen 2004.txt,4.6
Mandela Long Walk to Freedom 2013.txt,7.1
Maniac Cop 1988.txt,6
Under The Cherry Moon 1986.txt,4.9
Far from the Madding Crowd 1998.txt,7.1
Operation Petticoat 1959.txt,7.3
American Pie 1999.txt,7
Ghosts of Mars 2001.txt,4.9
Far from the Madding Crowd 2015.txt,7.1
Ghosts Of The Abyss 2004.txt,6.9
American Outlaws 2001.txt,6
Viva Zapata 1952.txt,7.5
Sniper 1993.txt,6.1
Yellow Sky 1948.txt,7.6
Election 1999.txt,7.3
Fantastic Voyage 1966.txt,6.8
Lara Croft Tomb Raider 2001.txt,5.5
In the Heat of the Night 1967.txt,8
ZPG 1972.txt,6.2
Revenge of the Green Dragons 2014.txt,5.3
Snow Buddies 2008.txt,5.4
Gifted Hands The Ben Carson Story 2009.txt,7.8
Congorama 2006.txt,7.2
Date with an Angel 1987.txt,5.8
Darkman 1990.txt,6.4
Congo 1995.txt,5
Open Windows 2014.txt,5.2
American Pie 2 2001.txt,6.4
American Soldiers 2005.txt,3.1
Jab Tak Hai Jaan 2012.txt,6.9
Mandingo 1975.txt,6.2
Zanjeer 1973.txt,7.7
Far from Heaven 2002.txt,7.4
Undercurrent 1946.txt,6.6
Year of the Dragon 1985.txt,6.9
Kiss of the Spider Woman 1985.txt,7.4
Z Storm 2014.txt,5.2
In Our Time 1944.txt,6.6
Revolver 2005.txt,6.5
Under the Bed 2012.txt,4.6
Quick Gun Murugun 2009.txt,6
Queen of Earth 2015.txt,6.4
The Amazing Dr Clitterhouse 1938.txt,7
White of the Eye 1987.txt,6.4
The Angriest Man in Brooklyn 2014.txt,5.7
The Angels Share 2012.txt,7
Manhattan Night 2016.txt,6.2
Plunder of the Sun 1953.txt,6.5
Vitus 2006.txt,7.7
Darkman II The Return of Durant 1995.txt,5
Open Season 2 2008.txt,5.7
Querida voy a comprar cigarrillos y vuelvo 2011.txt,6.8
Yella 2007.txt,6.7
The Amazing Wizard of Paws 2015.txt,4.3
Fantastic Four 2005.txt,5.7
Fantastic Four 2015.txt,5.7
Sniper 3 2004.txt,5.2
The Adventures of Pluto Nash 2002.txt,3.8
White Oleander 2002.txt,7.2
Revenge of the Nerds III The Next Generation 1992.txt,3.7
Lantana 2001.txt,7.4
Yeh Jawaani Hai Deewani 2013.txt,6.9
Consenting Adults 1992.txt,5.7
In the Electric Mist 2009.txt,6.1
American Ninja 4  The Annihilation 1990.txt,3.7
Manderlay 2005.txt,7.4
Under The Tuscan Sun 2003.txt,6.7
Operation Dumbo Drop 1995.txt,4.9
Lap Dance 2014.txt,5.6
The Age of Adaline 2015.txt,7.2
Confetti 2006.txt,5.8
Queen The 2006.txt,6.7
Nova Zembla 2011.txt,5.8
American Reunion 2012.txt,6.7
White Lightning 1973.txt,6.4
Fantastic Four Rise of the Silver Surfer 2007.txt,5.7
Notorious 2009.txt,8
Barbie In Rock n Royals 2015.txt,5.7
In Search of a Midnight Kiss 2007.txt,7.3
Conquest of the Planet of the Apes 1972.txt,6.1
The Angry Birds Movie 2016.txt,6.3
Snakes On A Plane 2006.txt,5.6
In The Land Of Blood And Honey 2011.txt,4.3
Year One 2009.txt,4.9
The Amityville Haunting 2011.txt,2.8
In Search of the Castaways 1962.txt,6.7
Plunder Road 1957.txt,6.8
Now and Then 1995.txt,6.7
Viva Las Vegas 1964.txt,6.4
Sniper Ghost Shooter 2016.txt,5.3
Jaatishwar 2014.txt,8.1
In Secret 2013.txt,6.1
Maniac 1980.txt,6.1
Yelling to the Sky 2011.txt,5.9
American Psycho II All American Girl 2002.txt,3.9
Darkroom 2013.txt,3.7
Kiss Me Deadly 1955.txt,7.7
Underbelly Files Tell Them Lucifer Was Here 2011.txt,6.8
Underclassman 2005.txt,4.1
Snow Day 2000.txt,4.9
The Adventures of Robin Hood 1938.txt,8
Sniper 2 2002.txt,5.2
Kismet 1955.txt,6.4
Under the Shadow 2016.txt,7.5
Snitch 2013.txt,6.5
Revenge of the Bridesmaids 2010.txt,6.1
Zappa 1983.txt,7.4
White Noise 2 The Light 2007.txt,5.7
In the Heart of the Sea 2015.txt,6.9
Please Kill Mr Know It All 2012.txt,4.6
Queen Christina 1933.txt,7.9
Manhattan Murder Mystery 1993.txt,7.4
Operation Amsterdam 1959.txt,6.4
Gigantic 2008.txt,6.1
Gift 2014.txt,7.4
Revenge of the Ninja 1983.txt,6.1
Kiss of the Damned 2012.txt,5.6
White Reindeer 2013.txt,5.7
Viva Zapatero 2005.txt,7.2
Fantozzi Alla Riscossa 1990.txt,5.8
Darkness Falls 2003.txt,4.9
Sniper Legacy 2014.txt,5.3
Open Water 2003.txt,5.7
Confidence 2003.txt,6.7
In The French Style 1963.txt,6.7
White Sands 1992.txt,6
American Psycho 2000.txt,7.6
Revenge for Jolly 2012.txt,4.6
American Nomads 2011.txt,7.8
White Nights 1985.txt,6.6
Barbie and the Secret Door 2014.txt,5.7
Revenge of the Electric Car 2011.txt,7.1
Operation Daybreak 1975.txt,7.1
Zameer 2005.txt,6.1
Under the Sea 3D 2009.txt,7.6
Revolutionary Road 2008.txt,7.3
Kisna The Warrior Poet 2005.txt,4.6
Electricity 2014.txt,6
Mancora 2008.txt,6.6
Date and Switch 2014.txt,5.8
Revenge Of The Pink Panther 1978.txt,6.7
Jack and the Beanstalk 2009.txt,6.1
Querelle 1982.txt,6.8
Pleasure or Pain 2013.txt,4.5
The Alchemist Cookbook 2016.txt,4.5
Sneakers 1992.txt,7.1
Las Acacias 2011.txt,6.9
Undercover Brother 2002.txt,5.8
Jack And Jill vs The World 2008.txt,5.6
Notorious 1946.txt,8
Revenge of the Nerds 1984.txt,6.6
Electric Apricot 2006.txt,7.1
Visions 2015.txt,5.3
Conspiracy 2008.txt,7.8
